=== Evaluation Scores ===

Per-Scene Scores:
  a1d38185b8f59a4b_00005: psnr=33.3542, ssim= 0.9659, lpips= 0.0469
  c71fa7a8db8bbec8_00022: psnr=27.6599, ssim= 0.8777, lpips= 0.0905
  9978d648c785ca9f_00012: psnr=33.7057, ssim= 0.9604, lpips= 0.0526
  9786c8d75194a1bf_00033: psnr=36.5985, ssim= 0.9774, lpips= 0.0428
  5f8e6b91cb78aa9f_00003: psnr=34.3456, ssim= 0.9580, lpips= 0.0814
  27daccf898b206de_00004: psnr=33.4345, ssim= 0.9245, lpips= 0.0508
  cce1ae2fda6376ec_00102: psnr=33.2092, ssim= 0.9573, lpips= 0.0689
  5c909c802eb6edb1_00013: psnr=29.9455, ssim= 0.9262, lpips= 0.0795
  af618ffabf190d3a_00000: psnr=32.8377, ssim= 0.9608, lpips= 0.0486
  59636f39d067119d_00000: psnr=42.7708, ssim= 0.9869, lpips= 0.0216
  82afd7cd03ef7111_00039: psnr=33.6981, ssim= 0.9662, lpips= 0.0564
  341c4533fbcb15a4_00012: psnr=24.0566, ssim= 0.8889, lpips= 0.0771
  9d0939c256269554_00036: psnr=36.8596, ssim= 0.9781, lpips= 0.0702
  4a763e1b87e495a7_00024: psnr=40.0623, ssim= 0.9825, lpips= 0.0219
  2e4c69143b09033c_00013: psnr=26.9153, ssim= 0.8896, lpips= 0.0764
  33afdeba3cd5af05_00054: psnr=22.0834, ssim= 0.8111, lpips= 0.1124
  6361aae2376e35b3_00042: psnr=26.9375, ssim= 0.8924, lpips= 0.0863
  51973bc28ad2030d_00000: psnr=31.9659, ssim= 0.9576, lpips= 0.0440
  45e81a557d2dd78b_00050: psnr=33.4679, ssim= 0.9672, lpips= 0.0674
  ae4090e8832b90f9_00165: psnr=26.2968, ssim= 0.8681, lpips= 0.1094
  bfcc43cb05071cf7_00020: psnr=29.1193, ssim= 0.8292, lpips= 0.1330
  12a70416c92a9483_00042: psnr=27.0497, ssim= 0.8445, lpips= 0.1409
  90db3a1e61834d39_00078: psnr=34.7069, ssim= 0.9742, lpips= 0.0511
  531e3acf16289429_00003: psnr=36.9698, ssim= 0.9701, lpips= 0.0360
  3a79b9aefafb0b8d_00003: psnr=23.0021, ssim= 0.8219, lpips= 0.0974
  309bed43e4406d72_00012: psnr=21.0467, ssim= 0.7642, lpips= 0.1845
  ebb5e70d56341020_00032: psnr=29.1686, ssim= 0.8647, lpips= 0.0931
  b8a96066ff35db86_00030: psnr=27.2326, ssim= 0.7833, lpips= 0.1546
  e050b07b90580dba_00025: psnr=38.0413, ssim= 0.9796, lpips= 0.0538
  5ee7f79d21f7e482_00036: psnr=31.8386, ssim= 0.9637, lpips= 0.0935
  d4127110de7604d3_00149: psnr=32.0082, ssim= 0.9644, lpips= 0.0455
  2b0b2259a7216762_00100: psnr=35.2306, ssim= 0.9777, lpips= 0.0382
  2445756494ef6e3d_00025: psnr=32.6160, ssim= 0.9518, lpips= 0.0438
  6eaf7b55c0a59be9_00106: psnr=29.1473, ssim= 0.9253, lpips= 0.0973
  37de8da2580d0c1d_00037: psnr=34.0402, ssim= 0.9620, lpips= 0.0754
  1defdda324307269_00071: psnr=23.2886, ssim= 0.8031, lpips= 0.1876
  eae986c8f31081cc_00051: psnr=40.2255, ssim= 0.9791, lpips= 0.0434
  575fc7cbb9b2d352_00021: psnr=26.8077, ssim= 0.9130, lpips= 0.1133
  8038a001feaffb7b_00003: psnr=33.5481, ssim= 0.9740, lpips= 0.0602
  8453005c232016c7_00036: psnr=30.9198, ssim= 0.9716, lpips= 0.0449
  b6b1244092471403_00082: psnr=28.5941, ssim= 0.9174, lpips= 0.1039
  90131e866868c2f6_00027: psnr=28.1870, ssim= 0.9397, lpips= 0.0858
  ff4c8a31f4153121_00017: psnr=24.2694, ssim= 0.9261, lpips= 0.0954
  dc90deddeacc3d26_00041: psnr=29.5585, ssim= 0.9303, lpips= 0.0977
  45823117f0acb627_00017: psnr=33.9770, ssim= 0.9615, lpips= 0.0525
  6584cfd8b9eb91f0_00003: psnr=32.7408, ssim= 0.9592, lpips= 0.0542
  45a00d135c5388fc_00012: psnr=41.7812, ssim= 0.9831, lpips= 0.0527
  2c9018ef57c6b061_00019: psnr=38.9493, ssim= 0.9772, lpips= 0.0459
  b21d13ea38d9ac79_00002: psnr=31.1369, ssim= 0.9507, lpips= 0.0371
  4c8fd5318ae8d467_00161: psnr=30.6868, ssim= 0.9415, lpips= 0.0744
