=== Evaluation Scores ===

Per-Scene Scores:
  a1d38185b8f59a4b_00005: psnr=29.1109, ssim= 0.8755, lpips= 0.1420
  c71fa7a8db8bbec8_00022: psnr=27.0336, ssim= 0.8565, lpips= 0.1662
  9978d648c785ca9f_00012: psnr=27.6396, ssim= 0.8729, lpips= 0.1465
  9786c8d75194a1bf_00033: psnr=32.1846, ssim= 0.9516, lpips= 0.0996
  5f8e6b91cb78aa9f_00003: psnr=31.7145, ssim= 0.9461, lpips= 0.1297
  27daccf898b206de_00004: psnr=29.0619, ssim= 0.8439, lpips= 0.1411
  cce1ae2fda6376ec_00102: psnr=31.2042, ssim= 0.9369, lpips= 0.1398
  5c909c802eb6edb1_00013: psnr=28.5541, ssim= 0.8875, lpips= 0.1502
  af618ffabf190d3a_00000: psnr=30.8382, ssim= 0.9231, lpips= 0.1148
  59636f39d067119d_00000: psnr=36.7759, ssim= 0.9719, lpips= 0.0703
  82afd7cd03ef7111_00039: psnr=31.2612, ssim= 0.9524, lpips= 0.1160
  341c4533fbcb15a4_00012: psnr=22.7344, ssim= 0.8551, lpips= 0.1514
  9d0939c256269554_00036: psnr=34.5567, ssim= 0.9683, lpips= 0.1176
  4a763e1b87e495a7_00024: psnr=36.4909, ssim= 0.9627, lpips= 0.0671
  2e4c69143b09033c_00013: psnr=25.8806, ssim= 0.8628, lpips= 0.1456
  33afdeba3cd5af05_00054: psnr=22.2871, ssim= 0.8274, lpips= 0.1790
  6361aae2376e35b3_00042: psnr=27.8089, ssim= 0.8660, lpips= 0.1488
  51973bc28ad2030d_00000: psnr=26.0340, ssim= 0.8732, lpips= 0.1389
  45e81a557d2dd78b_00050: psnr=29.6027, ssim= 0.9414, lpips= 0.1326
  ae4090e8832b90f9_00165: psnr=23.7314, ssim= 0.7851, lpips= 0.2111
  bfcc43cb05071cf7_00020: psnr=25.9753, ssim= 0.8270, lpips= 0.2273
  12a70416c92a9483_00042: psnr=25.6529, ssim= 0.7996, lpips= 0.2387
  90db3a1e61834d39_00078: psnr=29.5576, ssim= 0.9221, lpips= 0.1305
  531e3acf16289429_00003: psnr=34.5834, ssim= 0.9483, lpips= 0.0908
  3a79b9aefafb0b8d_00003: psnr=21.0330, ssim= 0.7706, lpips= 0.2035
  309bed43e4406d72_00012: psnr=19.4890, ssim= 0.7080, lpips= 0.3053
  ebb5e70d56341020_00032: psnr=26.4025, ssim= 0.7064, lpips= 0.2171
  b8a96066ff35db86_00030: psnr=26.7709, ssim= 0.7550, lpips= 0.2585
  e050b07b90580dba_00025: psnr=34.8222, ssim= 0.9673, lpips= 0.1087
  5ee7f79d21f7e482_00036: psnr=29.5502, ssim= 0.9517, lpips= 0.1467
  d4127110de7604d3_00149: psnr=29.1098, ssim= 0.9065, lpips= 0.1170
  2b0b2259a7216762_00100: psnr=29.2466, ssim= 0.9534, lpips= 0.1076
  2445756494ef6e3d_00025: psnr=29.4989, ssim= 0.8833, lpips= 0.1253
  6eaf7b55c0a59be9_00106: psnr=27.4645, ssim= 0.9028, lpips= 0.1860
  37de8da2580d0c1d_00037: psnr=30.6405, ssim= 0.9499, lpips= 0.1458
  1defdda324307269_00071: psnr=22.3518, ssim= 0.7566, lpips= 0.2766
  eae986c8f31081cc_00051: psnr=38.2926, ssim= 0.9686, lpips= 0.0999
  575fc7cbb9b2d352_00021: psnr=25.7117, ssim= 0.9104, lpips= 0.1800
  8038a001feaffb7b_00003: psnr=32.2466, ssim= 0.9636, lpips= 0.1140
  8453005c232016c7_00036: psnr=27.0358, ssim= 0.9198, lpips= 0.1215
  b6b1244092471403_00082: psnr=27.5837, ssim= 0.8992, lpips= 0.1787
  90131e866868c2f6_00027: psnr=26.0642, ssim= 0.9038, lpips= 0.1557
  ff4c8a31f4153121_00017: psnr=21.6959, ssim= 0.8551, lpips= 0.1839
  dc90deddeacc3d26_00041: psnr=28.9718, ssim= 0.9253, lpips= 0.1555
  45823117f0acb627_00017: psnr=30.2624, ssim= 0.8783, lpips= 0.1410
  6584cfd8b9eb91f0_00003: psnr=30.1604, ssim= 0.9272, lpips= 0.1263
  45a00d135c5388fc_00012: psnr=39.9599, ssim= 0.9791, lpips= 0.1020
  2c9018ef57c6b061_00019: psnr=35.7165, ssim= 0.9524, lpips= 0.1129
  b21d13ea38d9ac79_00002: psnr=30.7825, ssim= 0.9194, lpips= 0.0972
  4c8fd5318ae8d467_00161: psnr=31.1837, ssim= 0.9265, lpips= 0.1380
  f5c2e696cb86b701_00054: psnr=31.0370, ssim= 0.9515, lpips= 0.1407
  54fe098cef530a7f_00024: psnr=34.0929, ssim= 0.9618, lpips= 0.1071
  fa81f29d350eace3_00005: psnr=27.7153, ssim= 0.8831, lpips= 0.1354
  b7ae0d63cd88cb7e_00005: psnr=34.2291, ssim= 0.9662, lpips= 0.1186
  ae5c26bc7fe988ea_00012: psnr=33.3675, ssim= 0.9302, lpips= 0.0710
  dc6c3a7310c42e07_00001: psnr=27.2576, ssim= 0.9074, lpips= 0.1322
  7983738c2b4adad4_00014: psnr=30.0169, ssim= 0.9246, lpips= 0.1195
  71a27a839592fb3a_00000: psnr=26.8996, ssim= 0.8436, lpips= 0.1559
  1a8466443ffdc6c5_00007: psnr=34.0007, ssim= 0.9511, lpips= 0.1216
  774aa648451ced87_00074: psnr=29.3563, ssim= 0.9366, lpips= 0.1495
  975e3b9c0ee44348_00198: psnr=31.4499, ssim= 0.9373, lpips= 0.1146
  7d1a68f312ba2d95_00067: psnr=28.8297, ssim= 0.9207, lpips= 0.1547
  505a86992cc1b6ce_00005: psnr=25.4296, ssim= 0.8751, lpips= 0.1585
  414e2bf42ee45cc4_00161: psnr=30.6262, ssim= 0.9129, lpips= 0.1571
  e9b6564434ba856f_00002: psnr=33.4046, ssim= 0.9423, lpips= 0.0923
  e14fc8cb91357b29_00018: psnr=30.8105, ssim= 0.9491, lpips= 0.1606
  7b88a7e1a069a93a_00029: psnr=27.7259, ssim= 0.8879, lpips= 0.1741
  ee9503a872caad73_00006: psnr=35.7996, ssim= 0.9716, lpips= 0.0772
  399cfd9cfacc0499_00004: psnr=26.7721, ssim= 0.9003, lpips= 0.1490
  1203cc23b881ab8d_00055: psnr=26.0236, ssim= 0.8970, lpips= 0.1356
  8c5cc2b59d236f7f_00015: psnr=23.5760, ssim= 0.8574, lpips= 0.1792
  40904cd4b9e0579d_00052: psnr=29.3565, ssim= 0.9272, lpips= 0.0913
  2e4cac06a4f92261_00002: psnr=26.0644, ssim= 0.8625, lpips= 0.1964
  fe485c8b96b46c0a_00015: psnr=29.7555, ssim= 0.8984, lpips= 0.1348
  00e8df74b6805da7_00028: psnr=29.3045, ssim= 0.9343, lpips= 0.1299
  074653ff3928b9fe_00017: psnr=33.6682, ssim= 0.9569, lpips= 0.0855
  dff51d96b59df454_00031: psnr=37.0033, ssim= 0.9781, lpips= 0.0844
  d879362410eaf691_00001: psnr=26.4238, ssim= 0.8759, lpips= 0.2142
  60bf89b196577c8c_00005: psnr=31.1377, ssim= 0.9449, lpips= 0.1265
