scene,psnr,ssim,lpips
ab4c269f8d523d02_00018,30.988,0.9516,0.1164
bde72676dac5dc06_00043,30.9598,0.9432,0.1085
8b760ac05c93a6bb_00026,30.9501,0.9343,0.1383
322261824c4a3003_00033,30.945,0.9309,0.117
602cd3dcd51e706e_00021,30.9279,0.9374,0.1096
2e109379f53bb221_00035,30.9088,0.9358,0.1082
57d25dafabb5a238_00032,30.8921,0.9399,0.1482
af618ffabf190d3a_00000,30.8382,0.9231,0.1148
774712243467068c_00006,30.812,0.901,0.1793
622ef98e83ed5239_00003,30.8114,0.9287,0.0959
e14fc8cb91357b29_00018,30.8105,0.9491,0.1606
8c5136bca99f6b66_00000,30.7871,0.9271,0.1444
b21d13ea38d9ac79_00002,30.7825,0.9194,0.0972
3d60041ab79f46fc_00017,30.748,0.959,0.1139
b73a7e175486c78a_00123,30.7203,0.9503,0.0942
867a9e729b3eced3_00000,30.7062,0.9332,0.091
e87c0a291ec4a45d_00004,30.6427,0.9512,0.1089
37de8da2580d0c1d_00037,30.6405,0.9499,0.1458
414e2bf42ee45cc4_00161,30.6262,0.9129,0.1571
aadc1e2dc74fd644_00002,30.6168,0.8967,0.1241
edba67643c40b399_00077,30.6144,0.9365,0.1193
ed299cc5f85d0edd_00030,30.5573,0.9118,0.1354
de45926738229f67_00022,30.4919,0.9682,0.1617
3094afb27266ee6a_00005,30.4663,0.9344,0.1208
a63c60167d524a5d_00021,30.3884,0.9267,0.1181
31c79c843555c2c6_00005,30.3113,0.8943,0.1299
3f6e7ee98174056b_00044,30.2768,0.858,0.1446
45823117f0acb627_00017,30.2624,0.8783,0.141
9131cc864db80476_00020,30.2276,0.9416,0.1733
e01e8cb797908f8c_00054,30.2073,0.8904,0.1396
f1cf2e1b45e3c789_00107,30.1932,0.9501,0.1265
550ea130af96ccfa_00140,30.1682,0.9208,0.0949
6584cfd8b9eb91f0_00003,30.1604,0.9272,0.1263
51170ef694154b08_00011,30.1464,0.9262,0.1528
252a24d25a1ea81d_00198,30.1366,0.9383,0.1408
e3be10efd916a10f_00014,30.1261,0.9412,0.1153
cfa392a515fbe36a_00002,30.0717,0.9324,0.128
6787db28c797f3ad_00150,30.0316,0.9157,0.1894
7983738c2b4adad4_00014,30.0169,0.9246,0.1195
f06c314b02d35b81_00054,30.0098,0.9259,0.1299
a0d174b988c5ead7_00001,29.9795,0.939,0.1656
01a628e2c509b823_00062,29.9599,0.93,0.1345
9da1817a6a8b398b_00005,29.8699,0.8521,0.1457
9e1f1beb4ba8e5da_00009,29.8104,0.9112,0.1518
