=== Evaluation Scores ===

Per-Scene Scores:
  01a628e2c509b823_00062: psnr=29.6057, ssim= 0.9264, lpips= 0.1369
  efa64a0035040381_00127: psnr=30.8022, ssim= 0.8620, lpips= 0.1525
  656381bea665bf3d_00027: psnr=23.9525, ssim= 0.8428, lpips= 0.1615
  f315d65b981724a1_00056: psnr=19.1663, ssim= 0.4357, lpips= 0.4397
  62e7d55109468b27_00009: psnr=33.4710, ssim= 0.9774, lpips= 0.1146
  2d4efa3897a4ba2d_00004: psnr=28.7757, ssim= 0.8865, lpips= 0.1115
  6fdd15be262854f1_00021: psnr=31.1386, ssim= 0.9311, lpips= 0.0909
  0425df3e42ba0de3_00152: psnr=31.5363, ssim= 0.9213, lpips= 0.1507
  bac90b67024759ee_00020: psnr=34.4442, ssim= 0.9578, lpips= 0.0812
  f3ef8cde65afcc5e_00003: psnr=34.1781, ssim= 0.9482, lpips= 0.1064
  9f22541e0c3894c1_00008: psnr=29.7721, ssim= 0.9220, lpips= 0.1679
  3087828bc27bc4c7_00015: psnr=27.7460, ssim= 0.8973, lpips= 0.1413
  4ef560091d948f8e_00063: psnr=30.0088, ssim= 0.9423, lpips= 0.1047
  14f477e7d5af5b91_00017: psnr=24.5913, ssim= 0.9066, lpips= 0.1678
  e68dd764c51470c0_00027: psnr=23.1198, ssim= 0.7951, lpips= 0.1927
  0869b66f912b845d_00192: psnr=32.4444, ssim= 0.9429, lpips= 0.1540
  4e0e71a0930d359d_00000: psnr=30.2638, ssim= 0.9290, lpips= 0.1004
  5be4f1f46b408d68_00108: psnr=24.7171, ssim= 0.8758, lpips= 0.1393
  44a85c75cf4a6da8_00045: psnr=27.1759, ssim= 0.9259, lpips= 0.1448
  1bf49251fdd23cc0_00003: psnr=34.0423, ssim= 0.9722, lpips= 0.1036
  7f56a807c4e3fbcb_00012: psnr=32.1245, ssim= 0.9462, lpips= 0.0976
  ea238737feca4622_00033: psnr=24.8672, ssim= 0.8848, lpips= 0.1924
  b70c3d4dcc51f866_00009: psnr=27.7869, ssim= 0.9329, lpips= 0.1316
  dbb340f63c6ae50b_00106: psnr=27.4787, ssim= 0.8880, lpips= 0.1412
  0e16d64d961fe855_00011: psnr=23.0142, ssim= 0.7844, lpips= 0.2177
  98309bf872051c85_00182: psnr=25.4399, ssim= 0.8343, lpips= 0.1775
  de45926738229f67_00022: psnr=29.3119, ssim= 0.9564, lpips= 0.1657
  a1d38185b8f59a4b_00005: psnr=28.6683, ssim= 0.8651, lpips= 0.1459
  c71fa7a8db8bbec8_00022: psnr=27.1735, ssim= 0.8633, lpips= 0.1641
  9978d648c785ca9f_00012: psnr=26.8921, ssim= 0.8540, lpips= 0.1519
  9786c8d75194a1bf_00033: psnr=33.2640, ssim= 0.9592, lpips= 0.0971
  5f8e6b91cb78aa9f_00003: psnr=31.9106, ssim= 0.9459, lpips= 0.1293
  27daccf898b206de_00004: psnr=26.2654, ssim= 0.7865, lpips= 0.1699
  cce1ae2fda6376ec_00102: psnr=30.8996, ssim= 0.9360, lpips= 0.1396
